T=1; TrainA; Trans: A->A-C
T=61; TrainB; Trans: B-C->B
T=62; TrainA; Stop
T=62; TrainC; Stop
T=65; TrainA; Start
T=66; TrainB; Trans: B->B-C
T=66; TrainB; Stop
T=67; TrainA; Trans: A-C->A
T=67; TrainC; Start
T=68; TrainC; Trans: C->B-C
T=69; TrainB; Start
T=69; TrainC; Stop
T=71; TrainA; Stop
T=72; TrainB; Trans: B-C->B
T=72; TrainA; Start
T=72; TrainC; Start
T=73; TrainA; Trans: A->A-C
T=74; TrainC; Trans: B-C->C
T=76; TrainA; Trans: A-C->A
T=76; TrainC; Stop
T=77; TrainB; Trans: B->B-C
T=77; TrainA; Stop
T=77; TrainB; Stop
T=78; TrainB; Start
T=79; TrainC; Start
T=81; TrainB; Trans: B-C->B
T=82; TrainC; Trans: C->B-C
T=82; TrainA; Start
T=83; TrainC; Stop
T=85; TrainA; Stop
T=86; TrainB; Trans: B->B-C
T=86; TrainB; Stop
T=86; TrainC; Start
T=88; TrainC; Trans: B-C->C
T=88; TrainA; Start
T=89; TrainA; Trans: A->A-C
T=89; TrainB; Start
T=90; TrainA; Stop
T=90; TrainC; Stop
T=92; TrainB; Trans: B-C->B
T=92; TrainA; Start
T=94; TrainA; Trans: A-C->A
T=94; TrainC; Start
T=97; TrainB; Trans: B->B-C
T=97; TrainC; Trans: C->B-C
T=97; TrainB; Stop
T=98; TrainA; Stop
T=98; TrainC; Stop
T=99; TrainC; Start
T=101; TrainC; Trans: B-C->C
T=102; TrainB; Start
T=103; TrainC; Stop
T=105; TrainB; Trans: B-C->B
T=105; TrainA; Start
T=106; TrainA; Trans: A->A-C
T=106; TrainC; Start
T=109; TrainA; Trans: A-C->A
T=109; TrainC; Trans: C->B-C
T=110; TrainB; Trans: B->B-C
T=110; TrainA; Stop
T=110; TrainB; Stop
T=110; TrainC; Stop
T=111; TrainC; Start
T=113; TrainC; Trans: B-C->C
T=113; TrainA; Start
T=115; TrainB; Start
T=115; TrainC; Stop
T=117; TrainA; Trans: A->A-C
T=118; TrainB; Trans: B-C->B
T=118; TrainA; Stop
T=118; TrainC; Start
T=120; TrainC; Stop
T=121; TrainA; Start
T=123; TrainA; Trans: A-C->A
T=123; TrainB; Trans: B->B-C
T=123; TrainB; Stop
T=123; TrainC; Start
T=124; TrainC; Trans: C->B-C
T=125; TrainC; Stop
T=126; TrainB; Start
T=127; TrainA; Stop
T=128; TrainC; Start
T=129; TrainB; Trans: B-C->B
T=129; TrainA; Start
T=130; TrainA; Trans: A->A-C
T=130; TrainC; Trans: B-C->C
T=132; TrainC; Stop
T=133; TrainA; Trans: A-C->A
T=134; TrainB; Trans: B->B-C
T=134; TrainA; Stop
T=134; TrainB; Stop
T=135; TrainA; Start
T=136; TrainB; Start
T=138; TrainC; Start
T=139; TrainA; Trans: A->A-C
T=139; TrainB; Trans: B-C->B
T=140; TrainA; Stop
T=140; TrainC; Stop
T=143; TrainA; Start
T=144; TrainB; Trans: B->B-C
T=144; TrainB; Stop
T=145; TrainA; Trans: A-C->A
T=145; TrainC; Start
T=146; TrainC; Trans: C->B-C
T=147; TrainB; Start
T=147; TrainC; Stop
T=149; TrainA; Stop
T=150; TrainB; Trans: B-C->B
T=150; TrainA; Start
T=150; TrainC; Start
T=151; TrainA; Trans: A->A-C
T=152; TrainC; Trans: B-C->C
T=154; TrainA; Trans: A-C->A
T=154; TrainC; Stop
T=155; TrainB; Trans: B->B-C
T=155; TrainA; Stop
T=155; TrainB; Stop
T=156; TrainB; Start
T=157; TrainC; Start
T=159; TrainB; Trans: B-C->B
T=160; TrainC; Trans: C->B-C
T=160; TrainA; Start
T=161; TrainC; Stop
T=163; TrainA; Stop
T=164; TrainB; Trans: B->B-C
T=164; TrainB; Stop
T=164; TrainC; Start
T=166; TrainC; Trans: B-C->C
T=166; TrainA; Start
T=167; TrainA; Trans: A->A-C
T=167; TrainB; Start
T=168; TrainA; Stop
T=168; TrainC; Stop
T=170; TrainB; Trans: B-C->B
T=170; TrainA; Start
T=172; TrainA; Trans: A-C->A
T=172; TrainC; Start
T=175; TrainB; Trans: B->B-C
T=175; TrainC; Trans: C->B-C
T=175; TrainB; Stop
T=176; TrainA; Stop
T=176; TrainC; Stop
T=177; TrainC; Start
T=179; TrainC; Trans: B-C->C
T=180; TrainB; Start
T=181; TrainC; Stop
T=183; TrainB; Trans: B-C->B
T=183; TrainA; Start
T=184; TrainA; Trans: A->A-C
T=184; TrainC; Start
T=187; TrainA; Trans: A-C->A
T=187; TrainC; Trans: C->B-C
T=188; TrainB; Trans: B->B-C
T=188; TrainA; Stop
T=188; TrainB; Stop
T=188; TrainC; Stop
T=189; TrainC; Start
